iter,time,reward,steps,convergence
1,264.586692,-299.0,300.0,11.475
2,77.13029900000001,-299.0,300.0,14.318125
3,97.93944900000001,-299.0,300.0,16.654271969482423
4,35.44965700000002,-299.0,300.0,18.39508913588084
5,27.095128000000024,-299.0,300.0,18.504175407779258
6,47.37099300000003,-299.0,300.0,20.005825512629663
7,12.452302999999997,-299.0,300.0,22.03405327990547
8,17.512831000000006,-299.0,300.0,22.30019106237649
9,13.144911000000036,-299.0,300.0,23.223592191749297
10,7.57399999999997,-299.0,300.0,23.695283623863197
11,8.172732999999987,-299.0,300.0,22.949457047416654
12,19.70620199999995,-299.0,300.0,19.980921526411908
13,13.666497,-299.0,300.0,17.227751726795397
14,7.866390999999973,-299.0,300.0,15.075795662139095
15,30.36123199999996,-299.0,300.0,15.152060602672401
16,4.044030999999948,-299.0,300.0,13.556373225954491
17,3.226709999999966,-299.0,300.0,11.31843690775498
18,6.329240000000014,-299.0,300.0,10.88020367000126
19,3.3017459999999943,-299.0,300.0,9.649762117347203
20,3.4149390000000057,-299.0,300.0,9.0187990834923
21,2.9891440000000546,-166.0,268.0,7.679059085121892
22,2.915093999999896,-299.0,300.0,7.735635160573949
23,2.7933539999999146,-64.0,166.0,7.759617601684985
24,2.5208039999999876,-299.0,300.0,8.037555041530412
25,2.600472999999992,-299.0,300.0,7.94020737919472
26,5.154022000000036,-299.0,300.0,8.123319148344637
27,2.510594999999949,4.0,98.0,8.253608642278893
28,2.005222999999945,-299.0,300.0,8.43422361461788
29,1.9426099999999558,-192.0,294.0,8.364159951254553
30,2.246740000000025,-25.0,127.0,8.38229655688971
31,1.8728599999999762,-108.0,210.0,8.909175921956026
32,2.276524000000002,-139.0,241.0,8.95582519323125
33,14.159750999999998,-10.0,112.0,9.557542660370158
34,1.7854319999999202,-79.0,181.0,9.67758987917905
35,1.4366279999999954,-8.0,110.0,9.397206248211905
36,1.95463100000004,-299.0,300.0,8.755141240758416
37,3.9054769999999905,-299.0,300.0,8.650978400270839
38,3.2024830000000337,-4.0,106.0,8.939454746036414
39,3.491444999999982,-9.0,111.0,9.295270287307323
40,1.3778329999999395,-29.0,131.0,9.111078809858085
41,1.878146000000025,-71.0,173.0,9.02208163477734
42,1.9541140000000068,-299.0,300.0,9.214675430873717
43,2.2846630000000756,-50.0,152.0,8.515002242875365
44,2.0573520000000123,26.0,76.0,8.489792807055107
45,1.695000000000002,18.0,84.0,8.620197439693992
46,4.1359530000000255,3.0,99.0,9.455040823717797
47,1.8331239999999083,-1.0,103.0,9.722464487878174
48,2.6995520000000495,-299.0,300.0,9.078316384812238
49,2.6398960000000304,-3.0,105.0,9.556706169067066
50,1.5946730000000464,32.0,70.0,9.461095880653406
51,2.106877000000007,22.0,80.0,9.755573404955783
52,2.005078000000049,-11.0,113.0,9.639505909312941
53,2.1365949999999634,17.0,85.0,9.924159584573719
54,1.7634520000000542,13.0,89.0,9.348705721538327
55,1.8415189999999582,-17.0,119.0,9.537168841991063
56,1.947268000000002,-20.0,122.0,8.895728922402464
57,1.6235169999999632,-86.0,188.0,8.377740788343331
58,1.6555619999999438,-87.0,189.0,8.466824553037815
59,1.8456620000000257,-18.0,120.0,8.04575907661602
60,1.7911879999999991,12.0,90.0,8.276927127986493
61,1.2264410000000225,-41.0,143.0,7.719368255813274
62,1.3732290000000313,-16.0,118.0,7.725534848430018
63,1.4465940000000233,-11.0,113.0,7.902976700292314
64,3.340570999999959,14.0,88.0,8.173647859824994
65,4.614922000000021,5.0,97.0,7.919605987926138
66,5.722988999999901,27.0,75.0,8.229205476227154
67,1.4634810000000442,-30.0,132.0,8.717315288026205
68,1.6452719999999754,4.0,98.0,8.415102496790805
69,4.136708999999961,-104.0,206.0,8.494466389357637
70,5.37843799999993,9.0,93.0,8.566751374623431
71,4.796643000000156,-11.0,113.0,9.070405699447225
72,4.360656999999879,-32.0,134.0,8.402909817675834
73,4.166857999999829,-54.0,156.0,8.174466225442979
74,4.084917999999993,0.0,102.0,8.324863322907268
75,4.811462000000155,-88.0,190.0,8.67340470857042
76,4.83705500000009,13.0,89.0,8.150754249597268
77,4.3088940000000076,-86.0,188.0,7.999477338899737
78,5.748752999999995,1.0,101.0,8.228244487833672
79,4.641834000000067,-8.0,110.0,8.217973648187435
80,3.980236999999942,-32.0,134.0,8.158078378281749
81,4.688001000000108,6.0,96.0,7.747952060190222
82,11.105511999999873,-28.0,130.0,7.687661561236891
83,1.4420639999999096,3.0,99.0,7.332480025859569
84,1.751905000000109,-30.0,132.0,7.214774449142527
85,2.5812599999999186,-74.0,176.0,6.97057819394999
86,2.993932000000088,-1.0,103.0,7.090069267249862
87,2.106785999999916,-111.0,213.0,7.181263980172725
88,1.7439539999999365,-66.0,168.0,7.436499209781076
89,1.806052000000058,-4.0,106.0,6.585434338182433
90,2.091995000000013,-31.0,133.0,6.824525198663329
91,1.8136239999999582,14.0,88.0,7.012580533471789
92,2.268090000000056,-68.0,170.0,7.725353647551579
93,1.7737960000001607,-30.0,132.0,7.950906102326492
94,1.5787340000001926,-28.0,130.0,7.746011906144228
95,1.5763570000000282,-33.0,135.0,7.75636936979987
96,1.6574249999998791,-12.0,114.0,8.211499401837676
97,3.4950199999999043,-22.0,124.0,8.248581449669341
98,2.03419699999996,-19.0,121.0,8.557692643907234
99,1.9113989999999248,-159.0,261.0,9.58011960498685
100,2.6494079999999087,22.0,80.0,9.501029251759757
101,1.595122999999976,-1.0,103.0,9.263837221825389
102,2.0794399999999325,-8.0,110.0,8.972630757836882
103,1.826974999999953,-11.0,113.0,9.057360279966492
104,2.177429000000064,-8.0,110.0,9.328103107189982
105,2.2885040000000245,-2.0,104.0,9.28721306878323
106,2.3172459999998285,-23.0,125.0,8.913157925137948
107,1.4164819999999967,30.0,72.0,8.731329564906165
108,1.402047999999878,26.0,76.0,7.984339540604256
109,1.674286999999941,-57.0,159.0,7.603830766788822
110,1.4511389999998237,-43.0,145.0,7.21192268074511
111,1.8727400000000394,10.0,92.0,7.606544264286066
112,2.0606560000000496,-8.0,110.0,7.9717939670497815
113,1.6827370000001007,-34.0,136.0,8.116839397655784
114,1.8915600000000143,18.0,84.0,8.530356907574532
115,2.110414000000116,-13.0,115.0,8.413597715711324
116,1.8874760000000546,20.0,82.0,8.887371924158028
117,1.8810620000000444,-37.0,139.0,8.57282932498035
118,1.7575020000000219,-48.0,150.0,8.995757141792335
119,2.2351219999998673,-16.0,118.0,8.877120841690816
120,2.0382820000000024,-57.0,159.0,9.236874553666746
121,1.5586069999999896,-1.0,103.0,9.00164007917073
122,1.6588980000000753,-11.0,113.0,9.203982829808213
123,1.6429229999999073,-5.0,107.0,9.223798538886442
124,1.8589469999998887,-40.0,142.0,8.75083784733473
125,2.689402999999979,-52.0,154.0,8.3988351148841
126,1.9488049999998314,-37.0,139.0,8.304388243972902
127,1.8389140000001358,36.0,66.0,8.63887965458285
128,1.7194879999999912,-34.0,136.0,8.6024837735451
129,1.9219200000000214,-164.0,266.0,8.420047461450341
130,4.720767999999875,-6.0,108.0,8.130397084133346
131,1.636260000000167,-10.0,112.0,7.9585208903488835
132,1.7332349999998886,11.0,91.0,7.423532758403416
133,1.5575359999999705,-61.0,163.0,7.146464451643905
134,1.4635590000000587,-18.0,120.0,7.032697164798445
135,1.710775999999914,24.0,78.0,7.270695261479577
136,2.220182999999931,-15.0,117.0,7.18150204798531
137,1.826606000000064,14.0,88.0,6.712729746091367
138,1.6052460000000046,-32.0,134.0,6.703712310226825
139,1.73247700000001,-43.0,145.0,7.177594409795917
140,1.8741330000000556,-20.0,122.0,7.459497384716762
141,1.7025520000000238,8.0,94.0,7.683314431433499
142,2.4410620000001604,11.0,91.0,7.905005902033769
143,1.6190249999998851,21.0,81.0,8.173309611357718
144,2.193949999999889,-163.0,265.0,8.432718659136128
145,1.514970999999976,-75.0,177.0,8.589700525430398
146,1.233819999999941,-36.0,138.0,8.763842799726408
147,1.6234830000001477,-51.0,153.0,9.580331812728549
148,2.034986000000183,-30.0,132.0,9.402942951868813
149,1.6281240000000086,-34.0,136.0,9.20243149206897
150,1.7761689999999941,-86.0,188.0,8.945164070513828
151,1.760541999999976,-6.0,108.0,9.184662578052363
152,1.726222000000055,-1.0,103.0,9.045095596836727
153,1.2009539999999763,11.0,91.0,8.914207267977636
154,2.886254000000088,-1.0,103.0,9.111473948274243
155,1.9213809999998333,-29.0,131.0,8.850356374004894
156,2.3110490000000095,-100.0,202.0,8.364697738985837
157,2.0269230000000693,-43.0,145.0,8.033930170500863
158,1.7047580000000284,-54.0,156.0,8.408815317626328
159,2.058033000000181,-12.0,114.0,8.219908602755183
160,2.0860970000000645,-19.0,121.0,8.204008441418582
161,2.0108389999999865,-56.0,158.0,7.88009333355496
162,2.6095900000000505,-12.0,114.0,7.751561097040218
163,1.8456740000001304,-38.0,140.0,7.8184024614119725
164,2.663987999999895,2.0,100.0,7.753059956906036
165,1.9285950000000884,-299.0,300.0,8.05681404719714
166,1.9158560000001046,-170.0,272.0,8.000238238664611
167,1.321415000000048,-75.0,177.0,7.662825095328586
168,1.4714519999998732,-13.0,115.0,7.855213493964712
169,2.6131190000000526,-77.0,179.0,8.391169773738186
170,2.7543420000000207,-299.0,300.0,9.092346763207313
171,1.71935099999998,18.0,84.0,8.90435483363797
172,1.5047999999999728,-12.0,114.0,8.68260518490847
173,1.3643160000000876,-81.0,183.0,8.720743996275752
174,1.80181299999993,-13.0,115.0,8.431349036302123
175,1.6908909999999722,14.0,88.0,8.15564154942734
176,1.4367479999999322,-30.0,132.0,8.785947259038112
177,2.3894890000000224,24.0,78.0,8.947216645110695
178,4.000184999999989,0.0,102.0,8.426897763302643
179,3.774930999999926,19.0,83.0,8.434580496529588
180,4.314244999999994,-9.0,111.0,8.013662488639508
181,6.1384140000000365,-69.0,171.0,8.218653065349159
182,2.0290769999999902,21.0,81.0,8.470792806500928
183,1.9248000000000598,-69.0,171.0,8.151313517588473
184,4.227971999999802,-31.0,133.0,8.225837314606796
185,5.053258000000005,-73.0,175.0,8.568433926349886
186,5.129468000000026,-86.0,188.0,8.135661339046806
187,5.552631999999891,20.0,82.0,8.159676278368613
188,4.120128000000056,4.0,98.0,8.480641413946412
189,7.9606720000000575,-102.0,204.0,8.214018913424308
190,5.196922000000104,-112.0,214.0,8.014425709643449
191,4.514826000000083,-86.0,188.0,7.565153698017904
192,4.72211999999983,-69.0,171.0,7.765368234343245
193,4.130553999999842,10.0,92.0,8.27748241318184
194,5.210508000000003,30.0,72.0,8.266011782414239
195,4.398255999999989,18.0,84.0,7.7773854747179145
196,5.001183000000076,-299.0,300.0,7.421797320059696
197,1.8516800000001332,14.0,88.0,7.344269683816395
198,1.8772929999999466,24.0,78.0,6.924773633631719
199,1.3414700000000668,-43.0,145.0,6.719553540671088
200,1.6353049999999758,25.0,77.0,6.759014644954266
201,1.65699500000005,4.0,98.0,6.985758235648061
202,2.668504999999932,18.0,84.0,6.599257461335872
203,1.819554000000112,-42.0,144.0,6.103982844545681
204,1.6780279999999426,-8.0,110.0,6.425902810097088
205,1.1171549999999808,17.0,85.0,6.650645359885614
206,1.4050590000000973,-11.0,113.0,7.1297709225274515
207,1.646293999999937,-299.0,300.0,7.506946081442022
208,2.5247360000000274,-78.0,180.0,7.466854454320867
209,1.8396889999998667,-22.0,124.0,7.384680595929526
210,2.2247170000000427,1.0,101.0,7.156301556336443
211,1.170239999999989,-11.0,113.0,6.924161897086572
212,1.4145169999999485,-63.0,165.0,6.860855105627733
213,2.2070389999999662,-12.0,114.0,6.919960456783835
214,1.8666350000000609,5.0,97.0,7.002001090299487
215,1.3206390000000123,6.0,96.0,7.291125962773185
216,1.6964029999999575,-49.0,151.0,7.167735840708389
217,1.9518149999999679,17.0,85.0,6.7154998916632165
