iter,time,reward,steps,convergence
1,216.898435,-299.0,300.0,13.35897
2,143.7802939999999,-299.0,300.0,16.965239129
3,104.989985,-299.0,300.0,19.619089260538153
4,25.203521000000006,-299.0,300.0,21.726868328759416
5,49.38119800000007,-299.0,300.0,24.019697676734282
6,12.71439800000007,-299.0,300.0,26.787455634930502
7,17.911283999999974,-299.0,300.0,27.25352356201467
8,8.887041999999902,-299.0,300.0,30.656568474858506
9,3.349107000000018,-299.0,300.0,33.75526183905713
10,9.671769999999968,-299.0,300.0,34.201333393471366
11,3.437778999999974,-299.0,300.0,31.37952838973509
12,4.455668000000079,-299.0,300.0,28.051326586283864
13,2.4944270000000213,-299.0,300.0,25.30053219739718
14,6.910917000000016,-299.0,300.0,23.972117734081806
15,7.449315999999984,-299.0,300.0,22.521752267928328
16,26.633452000000002,-299.0,300.0,20.351472619770632
17,7.97922299999998,-299.0,300.0,20.37541013942668
18,3.9458820000000117,-33.0,135.0,18.696357214630464
19,3.0117219999999945,-299.0,300.0,16.071939226257967
20,3.655890000000106,-112.0,214.0,15.817804200281563
21,5.213374999999965,-178.0,280.0,15.687972201642584
22,2.842546999999973,-299.0,300.0,15.617311571985477
23,4.4339040000000995,-299.0,300.0,16.011219807997765
24,10.450195999999966,-116.0,218.0,14.886788996234532
25,3.319042999999966,-299.0,300.0,14.626861333677326
26,3.2333110000000165,-299.0,300.0,14.076350283262723
27,5.220593999999967,-299.0,300.0,14.236603835356078
28,3.655955000000044,-97.0,199.0,12.838604830082915
29,2.1211450000000465,-299.0,300.0,12.144467235753941
30,2.217302000000032,-299.0,300.0,12.552161263433463
31,19.586496000000064,-44.0,146.0,12.753964108034422
32,2.7647020000000078,-86.0,188.0,12.28469371425478
33,2.6158880000000106,-299.0,300.0,12.856439197323823
34,1.7364439999999481,-146.0,248.0,13.878396015454205
35,6.762994000000022,6.0,96.0,13.977348824354745
36,5.001122999999996,7.0,95.0,13.974855234302732
37,3.8429110000000044,-31.0,133.0,13.18127467757655
38,5.142917000000025,-23.0,125.0,12.848200184497648
39,3.4532560000000156,-101.0,203.0,13.223685704330752
40,4.029893000000007,5.0,97.0,12.434263218557742
41,2.732371999999983,-299.0,300.0,12.085500822547164
42,2.1737630000000507,-299.0,300.0,12.824603937527916
43,2.212242000000031,-145.0,247.0,12.07262484387314
44,4.008216999999981,-65.0,167.0,11.226415293235592
45,3.1272190000000144,-66.0,168.0,11.280994124093572
46,3.4242719999999505,-52.0,154.0,11.71789414118742
47,2.5712439999999726,-102.0,204.0,11.629760310281556
48,4.636221000000051,-112.0,214.0,12.031522648184415
49,2.6621989999999762,-92.0,194.0,12.2373582356324
50,3.1419080000000266,-37.0,139.0,12.788491768249115
51,1.7427949999999637,13.0,89.0,12.308163013669002
52,2.118702999999944,1.0,101.0,12.078976396020334
53,3.74121500000002,-78.0,180.0,12.106862827672115
54,8.882011000000078,5.0,97.0,12.646019925458098
55,9.079336999999965,-131.0,233.0,12.943714106194397
56,3.8060050000001677,-140.0,242.0,12.775653772346669
57,4.109848000000138,-51.0,153.0,13.564459684464822
58,4.2661900000000585,-299.0,300.0,13.720689052544511
59,5.435776000000114,-74.0,176.0,13.534687087717117
60,11.544202000000059,-82.0,184.0,13.741952113425299
61,8.288257000000021,-125.0,227.0,14.223399688235451
62,7.7692840000000984,6.0,96.0,13.886765742146077
63,6.481638000000123,-65.0,167.0,13.423259806007291
64,10.940020999999911,-135.0,237.0,13.096074412353321
65,2.092154999999929,-149.0,251.0,12.178696944624413
66,3.5591200000000267,-111.0,213.0,12.151324082533025
67,2.839201999999874,-195.0,297.0,11.942182356237101
68,2.061918000000107,-60.0,162.0,11.38290722412962
69,2.8952740000001143,-299.0,300.0,12.213760461598309
70,3.0802759999999374,-299.0,300.0,11.458891706367222
71,2.5874169999999808,-65.0,167.0,10.963722793717361
72,2.456072000000198,-299.0,300.0,10.906634996448602
73,2.7290279999998557,-46.0,148.0,11.277369209792312
74,2.095330000000173,-113.0,215.0,11.526819185158484
75,2.694623000000007,-107.0,209.0,11.8735475084511
76,1.8188889999999347,-76.0,178.0,11.412387940858606
77,2.9829470000000136,-126.0,228.0,12.171373033574849
78,3.94247499999989,-54.0,156.0,12.85607155356538
79,3.7878380000000433,-39.0,141.0,12.133096615108153
80,5.403396000000171,-52.0,154.0,12.198935697953626
81,3.2485939999999935,-156.0,258.0,12.45786145981539
82,5.7185369999999125,-34.0,136.0,12.802184035671965
83,1.5089379999999597,-37.0,139.0,12.681744883032486
84,2.5882559999999,-81.0,183.0,12.531200500122187
85,2.5440759999999507,-108.0,210.0,12.120858682089008
86,2.782952000000005,-299.0,300.0,12.901017803218139
