iter,time,reward,steps,convergence,policy
1,13.483758000006674,-299.0,300.0,79.8,False
2,39.39505400001053,-299.0,300.0,60.13072944,False
3,74.41739799998004,-299.0,300.0,32.733798258405436,False
4,56.9686120000199,-299.0,300.0,24.505649695997242,False
5,50.88969799999177,-299.0,300.0,16.15378549041346,False
6,76.83058499998197,-299.0,300.0,12.145281548533086,False
7,64.90279900000928,-299.0,300.0,10.161109422500171,False
8,66.50850599999103,-299.0,300.0,9.65557750872512,False
9,106.56423200001086,-299.0,300.0,7.303426991388121,False
10,65.01526599998897,-299.0,300.0,5.923403023611105,False
11,69.55919699998958,-299.0,300.0,5.833093694920711,False
12,65.83057500000677,-299.0,300.0,3.997956923723264,False
13,88.9288239999928,-299.0,300.0,3.3873719804129045,False
14,71.08980999998948,-299.0,300.0,2.8198687673585416,False
15,79.55689199999938,-299.0,300.0,2.4992538223834213,False
16,105.64834400000223,-299.0,300.0,2.1745587154243387,False
17,82.72654399999624,-299.0,300.0,1.86292658749884,False
18,98.41053600001715,-299.0,300.0,1.5722267506944627,False
19,97.70431999999118,-299.0,300.0,1.385812366150478,False
20,97.82608200001164,-299.0,300.0,1.2075830309921383,False
21,109.65254999999274,-299.0,300.0,0.9532493796142778,False
22,107.2460610000121,-299.0,300.0,0.7867613323813085,False
23,115.99238700000569,-299.0,300.0,0.7044456752459745,False
24,113.74552699999185,-299.0,300.0,0.5543935177573864,False
25,132.79060499999673,-299.0,300.0,0.3962784460306281,False
26,131.33269700000483,-299.0,300.0,0.3188217550763355,False
27,147.12648699998,-299.0,300.0,0.2421339144223147,False
28,187.46525000000247,-299.0,300.0,0.17195631079772866,False
29,139.7303269999952,-299.0,300.0,0.11545984247377383,False
30,149.9455899999873,-299.0,300.0,0.07390959227112415,False
31,147.17172999999661,-299.0,300.0,0.04591775925566832,False
32,196.41817000001538,-299.0,300.0,0.032668811568330014,False
33,174.180922000005,-299.0,300.0,0.03759643622374931,False
34,194.80773099999737,-299.0,300.0,0.02602868420464688,False
35,177.01260300000854,-299.0,300.0,0.029241535205441593,False
36,199.6344959999874,-299.0,300.0,0.02668949760152195,False
37,206.11150900001007,-299.0,300.0,0.023847399915920775,False
38,196.50124000000346,-299.0,300.0,0.01652248286700697,False
39,221.53477800000587,-113.0,215.0,0.014750066397933637,False
40,201.02424499998506,-299.0,300.0,0.01662874202717468,False
41,199.2432010000016,-299.0,300.0,0.011751335852359546,False
42,190.92814999999064,-36.0,138.0,0.010488660089219337,False
43,207.00548499999627,-299.0,300.0,0.011488996412886365,False
44,220.1900600000215,23.0,79.0,0.008343331531170506,False
45,395.6367129999876,28.0,74.0,0.007372339150576224,False
46,230.76461800002335,29.0,73.0,0.00531926351576395,False
47,224.56205800000362,27.0,75.0,0.00470504234247926,False
48,238.97801999999047,17.0,85.0,0.004164762220250751,False
49,566.9326940000019,31.0,71.0,0.00367216978824203,False
50,376.59084000000576,22.0,80.0,0.003257992217493566,True
51,379.39308399998595,25.0,77.0,0.002890486600469089,False
52,345.4946280000115,29.0,73.0,0.0025643515443114495,False
53,330.13927999999737,28.0,74.0,0.002274991580097918,False
54,396.88381199999867,19.0,83.0,0.002017896763335969,True
55,412.3916150000184,31.0,71.0,0.0017890939855238486,False
56,272.06512099999713,28.0,74.0,0.0015712105278389288,False
57,320.40581100000054,15.0,87.0,0.0012094806231406352,True
58,293.49402399998326,30.0,72.0,0.0002944518417624664,True
59,309.0930369999967,26.0,76.0,8.897849649081024e-05,True
60,283.4981169999935,26.0,76.0,6.722300126327241e-05,True
61,330.3386620000026,26.0,76.0,5.5418309203858485e-05,True
62,333.7995150000097,13.0,89.0,4.602943404563575e-05,True
63,324.00587199998654,18.0,84.0,3.857681507923871e-05,True
64,324.3006639999919,22.0,80.0,3.0080385913677787e-05,True
65,322.0398649999936,30.0,72.0,2.169254680595145e-05,True
66,314.10764999998264,31.0,71.0,1.4842588965890968e-05,True
67,380.91740499999105,34.0,68.0,9.76967260690742e-06,True
68,317.71155200002,28.0,74.0,6.23773107477632e-06,True
69,333.3404880000046,32.0,70.0,3.884029499801045e-06,True
70,549.4384300000092,30.0,72.0,2.3672555755638314e-06,True
71,352.44906200000514,21.0,81.0,1.4159897521182074e-06,True
72,649.0826730000094,29.0,73.0,8.328792375777994e-07,True
73,396.039213999984,33.0,69.0,4.824709840534069e-07,True
74,426.9602569999904,15.0,87.0,2.7558399118277066e-07,True
75,535.0643299999831,15.0,87.0,1.5536815034522533e-07,True
76,978.2838410000068,25.0,77.0,8.652827432342747e-08,True
77,575.3416189999996,29.0,73.0,4.76380392910869e-08,True
78,489.322479000009,26.0,76.0,2.5943133863393086e-08,True
79,483.7582110000085,14.0,88.0,1.3983193269950789e-08,True
80,439.14578999999776,29.0,73.0,7.46319095412673e-09,True
81,412.7240020000045,24.0,78.0,3.946169613300299e-09,True
82,408.96582099998113,11.0,91.0,2.0679671308698744e-09,True
83,402.33246200000394,18.0,84.0,1.0744791723027447e-09,True
84,391.87683599999446,16.0,86.0,5.537277303346855e-10,True
85,419.48112299999707,32.0,70.0,2.831281875614877e-10,True
86,382.3758680000253,23.0,79.0,1.4367884659804986e-10,True
87,484.1483529999948,25.0,77.0,7.239009391923901e-11,True
88,405.4598879999958,31.0,71.0,3.621991595537111e-11,True
89,401.4167470000132,27.0,75.0,1.8001600210482138e-11,True
90,448.92349900001705,23.0,79.0,8.888889624358853e-12,True
91,459.3986579999978,24.0,78.0,4.360956040727615e-12,True
92,402.00892100000374,26.0,76.0,2.1298518504409003e-12,True
93,433.1094919999998,25.0,77.0,1.0320633236915455e-12,True
94,439.21324699999786,19.0,83.0,4.991562718714704e-13,True
95,453.9166659999978,20.0,82.0,2.362554596402333e-13,True
96,439.4263719999856,26.0,76.0,1.1546319456101628e-13,True
97,442.08656399999313,19.0,83.0,5.3290705182007514e-14,True
98,469.2439040000238,30.0,72.0,2.8421709430404007e-14,True
99,476.1622659999887,17.0,85.0,1.0658141036401503e-14,True
100,429.8189579999985,30.0,72.0,5.329070518200751e-15,True
101,445.32795000000647,31.0,71.0,1.7763568394002505e-15,True
102,445.14957699999513,35.0,67.0,3.552713678800501e-15,True
103,457.667186000009,17.0,85.0,0.0,True
104,473.182965999996,21.0,81.0,0.0,True
105,459.54517199999145,27.0,75.0,0.0,True
106,458.7008019999814,16.0,86.0,0.0,True
107,510.24362300000803,29.0,73.0,0.0,True
108,555.9095549999995,26.0,76.0,0.0,True
109,499.49520300000927,34.0,68.0,0.0,True
110,499.4520619999889,21.0,81.0,0.0,True
111,530.9979699999872,18.0,84.0,0.0,True
112,516.6301339999961,24.0,78.0,0.0,True
113,539.482052000011,21.0,81.0,0.0,True
114,554.3762210000125,29.0,73.0,0.0,True
115,559.3248069999959,30.0,72.0,0.0,True
116,544.0662070000144,16.0,86.0,0.0,True
117,538.892747999995,14.0,88.0,0.0,True
118,540.1908879999837,20.0,82.0,0.0,True
119,580.9302339999931,14.0,88.0,0.0,True
120,562.3701130000143,27.0,75.0,0.0,True
121,587.9816489999996,21.0,81.0,0.0,True
122,819.588441999997,29.0,73.0,0.0,True
123,844.7137809999958,20.0,82.0,0.0,True
124,626.1940670000001,28.0,74.0,0.0,True
125,595.2321700000027,25.0,77.0,0.0,True
126,565.1016429999913,4.0,98.0,0.0,True
127,627.4731709999912,13.0,89.0,0.0,True
128,581.3729620000174,24.0,78.0,0.0,True
129,606.6568260000054,30.0,72.0,0.0,True
130,624.3095650000043,21.0,81.0,0.0,True
131,614.2473779999875,14.0,88.0,0.0,True
132,610.4838190000237,22.0,80.0,0.0,True
133,606.2864919999811,20.0,82.0,0.0,True
134,629.9961640000049,19.0,83.0,0.0,True
135,612.2468949999984,19.0,83.0,0.0,True
136,633.9402199999995,1.0,101.0,0.0,True
137,640.4711120000002,21.0,81.0,0.0,True
138,658.0015270000104,42.0,60.0,0.0,True
139,646.8623620000074,31.0,71.0,0.0,True
140,658.9619179999886,20.0,82.0,0.0,True
141,658.8827269999911,27.0,75.0,0.0,True
142,663.5678879999887,26.0,76.0,0.0,True
143,663.8295079999921,19.0,83.0,0.0,True
144,656.8949589999988,19.0,83.0,0.0,True
145,689.8469019999993,31.0,71.0,0.0,True
146,693.069740999988,35.0,67.0,0.0,True
147,686.6010020000033,22.0,80.0,0.0,True
148,662.5369650000152,18.0,84.0,0.0,True
149,698.4132699999748,18.0,84.0,0.0,True
150,699.2281619999972,26.0,76.0,0.0,True
151,723.6348079999857,12.0,90.0,0.0,True
152,674.7375319999946,10.0,92.0,0.0,True
153,711.0212969999736,10.0,92.0,0.0,True
154,721.3864549999869,27.0,75.0,0.0,True
155,726.8819950000136,34.0,68.0,0.0,True
156,699.975123999991,22.0,80.0,0.0,True
157,727.795757999985,31.0,71.0,0.0,True
158,748.5771789999944,41.0,61.0,0.0,True
159,746.2719199999981,24.0,78.0,0.0,True
160,753.3590270000161,9.0,93.0,0.0,True
161,748.8436130000196,36.0,66.0,0.0,True
162,776.4761730000203,14.0,88.0,0.0,True
163,751.0012309999752,33.0,69.0,0.0,True
164,743.2792449999965,34.0,68.0,0.0,True
165,772.6563559999988,28.0,74.0,0.0,True
166,786.9644940000171,20.0,82.0,0.0,True
167,781.8216860000007,21.0,81.0,0.0,True
168,802.3903350000126,30.0,72.0,0.0,True
169,814.3138679999993,29.0,73.0,0.0,True
170,815.3747169999974,23.0,79.0,0.0,True
171,1037.2588689999986,23.0,79.0,0.0,True
172,945.120782999993,26.0,76.0,0.0,True
173,885.392483000004,9.0,93.0,0.0,True
174,1152.7771419999908,31.0,71.0,0.0,True
175,1033.806980999998,22.0,80.0,0.0,True
176,844.6793100000036,27.0,75.0,0.0,True
177,872.0730189999983,6.0,96.0,0.0,True
178,884.5072920000234,23.0,79.0,0.0,True
179,1107.6765580000085,19.0,83.0,0.0,True
180,804.6607010000173,14.0,88.0,0.0,True
181,784.5282819999966,22.0,80.0,0.0,True
182,792.172585000003,29.0,73.0,0.0,True
183,807.5565489999974,26.0,76.0,0.0,True
184,820.8790609999994,23.0,79.0,0.0,True
185,859.5697190000067,30.0,72.0,0.0,True
186,872.956395000017,22.0,80.0,0.0,True
187,820.9902019999902,25.0,77.0,0.0,True
188,822.8169669999943,17.0,85.0,0.0,True
189,830.7692040000063,22.0,80.0,0.0,True
190,832.7645540000219,27.0,75.0,0.0,True
191,843.5064380000199,28.0,74.0,0.0,True
192,844.10420399999,24.0,78.0,0.0,True
193,851.9341180000026,22.0,80.0,0.0,True
194,852.748173000009,10.0,92.0,0.0,True
195,847.6421500000129,26.0,76.0,0.0,True
196,858.8692550000019,21.0,81.0,0.0,True
197,865.4192010000088,33.0,69.0,0.0,True
198,855.3439110000056,16.0,86.0,0.0,True
199,871.6698309999913,25.0,77.0,0.0,True
200,870.1758299999938,13.0,89.0,0.0,True
